"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","ROIName","contrastName","Group"
2,1627,162,1,0.16268,9,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,0.009448,9,2,"LAngG","non","LHLang-toLang"
4,743,74,1,1.768552,9,2,"LIFG","non","LHLang-toLang"
5,462,46,1,1.209767,9,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.820177,9,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.993441,9,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,0.985547,9,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.247901,9,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.564724,9,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.549561,9,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.026091,9,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.543014,10,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.282733,10,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.366885,10,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,4.377429,10,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,3.145815,10,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,2.133089,10,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.339845,10,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.067481,10,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.160811,10,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.63938,10,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.865361,10,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.215995,10,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,1.203169,10,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.215251,10,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.527697,10,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,3.738049,10,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,2.280454,10,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.917094,10,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.56184,11,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.15623,11,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.433266,11,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.926753,11,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,1.255618,11,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,1.798626,11,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.605324,11,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.143693,11,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.171434,11,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.396497,11,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.273988,11,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.962005,11,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.956516,11,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.012536,11,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.6047,11,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.530256,11,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.981631,11,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,0.836622,11,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,2.49845,12,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,2.043102,12,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,1.8156,12,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,2.361862,12,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,3.351825,12,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,3.513501,12,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,1.171945,12,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.753734,12,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,1.015278,12,2,"LAngG","non","LHLang-toLang"
4,743,74,1,1.304073,12,2,"LIFG","non","LHLang-toLang"
5,462,46,1,2.172327,12,2,"LMFG","non","LHLang-toLang"
6,370,37,1,1.494982,12,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,1.326505,12,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.289368,12,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.800321,12,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.057789,12,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,1.179498,12,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,2.018518,12,3,"LIFGorb","sent-non","LHLang-toLang"
1,1038,103,1,-0.096595,1,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,0.112013,1,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,-0.286691,1,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,0.752162,1,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,-0.592825,1,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,0.122786,1,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,0.183918,1,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,-0.174656,1,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,-0.307724,1,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,-0.811018,1,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,-0.003334,1,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,-0.375475,1,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,0.740977,1,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,0.205862,1,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,1.308565,1,1,"LParSup","sent","RevLangLeft-toMD"
16,2222,222,1,0.605611,1,1,"RParSup","sent","RevLangRight-toMD"
17,1615,161,1,-1.281832,1,1,"LACC","sent","RevLangLeft-toMD"
18,1958,195,1,-0.778553,1,1,"RACC","sent","RevLangRight-toMD"
1,1038,103,1,-0.014,1,2,"LIFGop","non","RevLangLeft-toMD"
2,1399,139,1,0.051288,1,2,"RIFGop","non","RevLangRight-toMD"
3,4863,486,1,-0.363698,1,2,"LMFG","non","RevLangLeft-toMD"
4,5104,510,1,0.138466,1,2,"RMFG","non","RevLangRight-toMD"
5,888,88,1,-0.430234,1,2,"LMFGorb","non","RevLangLeft-toMD"
6,1015,101,1,-0.005216,1,2,"RMFGorb","non","RevLangRight-toMD"
7,3526,352,1,0.16256,1,2,"LPrecG","non","RevLangLeft-toMD"
8,3381,338,1,-0.147908,1,2,"RPrecG","non","RevLangRight-toMD"
9,1858,185,1,-0.150708,1,2,"LInsula","non","RevLangLeft-toMD"
10,1770,177,1,-0.531882,1,2,"RInsula","non","RevLangRight-toMD"
11,2147,214,1,0.01579,1,2,"LSMA","non","RevLangLeft-toMD"
12,2371,237,1,-0.209426,1,2,"RSMA","non","RevLangRight-toMD"
13,2447,244,1,0.486943,1,2,"LParInf","non","RevLangLeft-toMD"
14,1345,134,1,0.116771,1,2,"RParInf","non","RevLangRight-toMD"
15,2065,206,1,0.893029,1,2,"LParSup","non","RevLangLeft-toMD"
16,2222,222,1,0.341291,1,2,"RParSup","non","RevLangRight-toMD"
17,1615,161,1,-0.801739,1,2,"LACC","non","RevLangLeft-toMD"
18,1958,195,1,-0.51983,1,2,"RACC","non","RevLangRight-toMD"
1,1038,103,1,-0.082595,1,3,"LIFGop","non-sent","RevLangLeft-toMD"
2,1399,139,1,0.060725,1,3,"RIFGop","non-sent","RevLangRight-toMD"
3,4863,486,1,0.077008,1,3,"LMFG","non-sent","RevLangLeft-toMD"
4,5104,510,1,0.613696,1,3,"RMFG","non-sent","RevLangRight-toMD"
5,888,88,1,-0.16259,1,3,"LMFGorb","non-sent","RevLangLeft-toMD"
6,1015,101,1,0.128003,1,3,"RMFGorb","non-sent","RevLangRight-toMD"
7,3526,352,1,0.021359,1,3,"LPrecG","non-sent","RevLangLeft-toMD"
8,3381,338,1,-0.026747,1,3,"RPrecG","non-sent","RevLangRight-toMD"
9,1858,185,1,-0.157016,1,3,"LInsula","non-sent","RevLangLeft-toMD"
10,1770,177,1,-0.279135,1,3,"RInsula","non-sent","RevLangRight-toMD"
11,2147,214,1,-0.019123,1,3,"LSMA","non-sent","RevLangLeft-toMD"
12,2371,237,1,-0.16605,1,3,"RSMA","non-sent","RevLangRight-toMD"
13,2447,244,1,0.254034,1,3,"LParInf","non-sent","RevLangLeft-toMD"
14,1345,134,1,0.089091,1,3,"RParInf","non-sent","RevLangRight-toMD"
15,2065,206,1,0.415536,1,3,"LParSup","non-sent","RevLangLeft-toMD"
16,2222,222,1,0.26432,1,3,"RParSup","non-sent","RevLangRight-toMD"
17,1615,161,1,-0.480093,1,3,"LACC","non-sent","RevLangLeft-toMD"
18,1958,195,1,-0.258722,1,3,"RACC","non-sent","RevLangRight-toMD"
1,1038,103,1,0.695319,2,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,0.497198,2,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,0.142316,2,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,-0.067874,2,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,-0.060405,2,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,0.372097,2,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,0.272298,2,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,0.70823,2,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,0.858905,2,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,0.25439,2,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,0.472152,2,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,0.485529,2,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,2.415277,2,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,0.369026,2,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,4.29495,2,1,"LParSup","sent","RevLangLeft-toMD"
16,2222,222,1,3.765642,2,1,"RParSup","sent","RevLangRight-toMD"
17,1615,161,1,0.236453,2,1,"LACC","sent","RevLangLeft-toMD"
18,1958,195,1,0.042595,2,1,"RACC","sent","RevLangRight-toMD"
1,1038,103,1,0.304013,2,2,"LIFGop","non","RevLangLeft-toMD"
2,1399,139,1,0.229382,2,2,"RIFGop","non","RevLangRight-toMD"
3,4863,486,1,0.191727,2,2,"LMFG","non","RevLangLeft-toMD"
4,5104,510,1,0.257561,2,2,"RMFG","non","RevLangRight-toMD"
5,888,88,1,0.362727,2,2,"LMFGorb","non","RevLangLeft-toMD"
6,1015,101,1,0.380624,2,2,"RMFGorb","non","RevLangRight-toMD"
7,3526,352,1,0.094237,2,2,"LPrecG","non","RevLangLeft-toMD"
8,3381,338,1,0.415383,2,2,"RPrecG","non","RevLangRight-toMD"
9,1858,185,1,0.390096,2,2,"LInsula","non","RevLangLeft-toMD"
10,1770,177,1,0.284613,2,2,"RInsula","non","RevLangRight-toMD"
11,2147,214,1,0.322932,2,2,"LSMA","non","RevLangLeft-toMD"
12,2371,237,1,0.389891,2,2,"RSMA","non","RevLangRight-toMD"
13,2447,244,1,1.511667,2,2,"LParInf","non","RevLangLeft-toMD"
14,1345,134,1,0.247862,2,2,"RParInf","non","RevLangRight-toMD"
15,2065,206,1,3.053222,2,2,"LParSup","non","RevLangLeft-toMD"
16,2222,222,1,2.583132,2,2,"RParSup","non","RevLangRight-toMD"
17,1615,161,1,0.214203,2,2,"LACC","non","RevLangLeft-toMD"
18,1958,195,1,0.277107,2,2,"RACC","non","RevLangRight-toMD"
1,1038,103,1,0.391306,2,3,"LIFGop","non-sent","RevLangLeft-toMD"
2,1399,139,1,0.267816,2,3,"RIFGop","non-sent","RevLangRight-toMD"
3,4863,486,1,-0.049411,2,3,"LMFG","non-sent","RevLangLeft-toMD"
4,5104,510,1,-0.325435,2,3,"RMFG","non-sent","RevLangRight-toMD"
5,888,88,1,-0.423133,2,3,"LMFGorb","non-sent","RevLangLeft-toMD"
6,1015,101,1,-0.008527,2,3,"RMFGorb","non-sent","RevLangRight-toMD"
7,3526,352,1,0.178061,2,3,"LPrecG","non-sent","RevLangLeft-toMD"
8,3381,338,1,0.292847,2,3,"RPrecG","non-sent","RevLangRight-toMD"
9,1858,185,1,0.46881,2,3,"LInsula","non-sent","RevLangLeft-toMD"
10,1770,177,1,-0.030222,2,3,"RInsula","non-sent","RevLangRight-toMD"
11,2147,214,1,0.14922,2,3,"LSMA","non-sent","RevLangLeft-toMD"
12,2371,237,1,0.095638,2,3,"RSMA","non-sent","RevLangRight-toMD"
13,2447,244,1,0.90361,2,3,"LParInf","non-sent","RevLangLeft-toMD"
14,1345,134,1,0.121164,2,3,"RParInf","non-sent","RevLangRight-toMD"
15,2065,206,1,1.241728,2,3,"LParSup","non-sent","RevLangLeft-toMD"
16,2222,222,1,1.18251,2,3,"RParSup","non-sent","RevLangRight-toMD"
17,1615,161,1,0.02225,2,3,"LACC","non-sent","RevLangLeft-toMD"
18,1958,195,1,-0.234512,2,3,"RACC","non-sent","RevLangRight-toMD"
1,1038,103,1,1.904751,3,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,2.704892,3,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,0.642463,3,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,1.109101,3,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,1.46309,3,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,1.429967,3,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,2.448936,3,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,0.722916,3,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,0.622127,3,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,0.316153,3,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,0.957542,3,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,1.147225,3,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,2.274919,3,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,1.028812,3,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,4.004657,3,1,"LParSup","sent","RevLangLeft-toMD"
16,2222,222,1,2.854168,3,1,"RParSup","sent","RevLangRight-toMD"
17,1615,161,1,0.469806,3,1,"LACC","sent","RevLangLeft-toMD"
18,1958,195,1,0.670068,3,1,"RACC","sent","RevLangRight-toMD"
1,1038,103,1,1.312141,3,2,"LIFGop","non","RevLangLeft-toMD"
2,1399,139,1,1.572919,3,2,"RIFGop","non","RevLangRight-toMD"
3,4863,486,1,-0.200417,3,2,"LMFG","non","RevLangLeft-toMD"
4,5104,510,1,0.17808,3,2,"RMFG","non","RevLangRight-toMD"
5,888,88,1,0.53109,3,2,"LMFGorb","non","RevLangLeft-toMD"
6,1015,101,1,0.983614,3,2,"RMFGorb","non","RevLangRight-toMD"
7,3526,352,1,1.584242,3,2,"LPrecG","non","RevLangLeft-toMD"
8,3381,338,1,0.574785,3,2,"RPrecG","non","RevLangRight-toMD"
9,1858,185,1,0.200936,3,2,"LInsula","non","RevLangLeft-toMD"
10,1770,177,1,0.012993,3,2,"RInsula","non","RevLangRight-toMD"
11,2147,214,1,0.158525,3,2,"LSMA","non","RevLangLeft-toMD"
12,2371,237,1,0.520205,3,2,"RSMA","non","RevLangRight-toMD"
13,2447,244,1,1.65537,3,2,"LParInf","non","RevLangLeft-toMD"
14,1345,134,1,0.646875,3,2,"RParInf","non","RevLangRight-toMD"
15,2065,206,1,2.989296,3,2,"LParSup","non","RevLangLeft-toMD"
16,2222,222,1,2.149297,3,2,"RParSup","non","RevLangRight-toMD"
17,1615,161,1,-0.175611,3,2,"LACC","non","RevLangLeft-toMD"
18,1958,195,1,-0.120042,3,2,"RACC","non","RevLangRight-toMD"
1,1038,103,1,0.59261,3,3,"LIFGop","non-sent","RevLangLeft-toMD"
2,1399,139,1,1.131973,3,3,"RIFGop","non-sent","RevLangRight-toMD"
3,4863,486,1,0.842879,3,3,"LMFG","non-sent","RevLangLeft-toMD"
4,5104,510,1,0.931021,3,3,"RMFG","non-sent","RevLangRight-toMD"
5,888,88,1,0.931999,3,3,"LMFGorb","non-sent","RevLangLeft-toMD"
6,1015,101,1,0.446353,3,3,"RMFGorb","non-sent","RevLangRight-toMD"
7,3526,352,1,0.864694,3,3,"LPrecG","non-sent","RevLangLeft-toMD"
8,3381,338,1,0.148131,3,3,"RPrecG","non-sent","RevLangRight-toMD"
9,1858,185,1,0.421191,3,3,"LInsula","non-sent","RevLangLeft-toMD"
10,1770,177,1,0.30316,3,3,"RInsula","non-sent","RevLangRight-toMD"
11,2147,214,1,0.799017,3,3,"LSMA","non-sent","RevLangLeft-toMD"
12,2371,237,1,0.62702,3,3,"RSMA","non-sent","RevLangRight-toMD"
13,2447,244,1,0.619549,3,3,"LParInf","non-sent","RevLangLeft-toMD"
14,1345,134,1,0.381937,3,3,"RParInf","non-sent","RevLangRight-toMD"
15,2065,206,1,1.01536,3,3,"LParSup","non-sent","RevLangLeft-toMD"
16,2222,222,1,0.704871,3,3,"RParSup","non-sent","RevLangRight-toMD"
17,1615,161,1,0.645417,3,3,"LACC","non-sent","RevLangLeft-toMD"
18,1958,195,1,0.79011,3,3,"RACC","non-sent","RevLangRight-toMD"
1,1038,103,1,3.996019,4,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,2.833489,4,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,2.484954,4,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,2.127325,4,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,1.852643,4,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,2.333302,4,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,2.792126,4,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,0.942845,4,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,1.457505,4,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,1.648813,4,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,1.475156,4,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,1.269188,4,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,0.820362,4,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,1.222092,4,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,3.994176,4,1,"LParSup","sent","RevLangLeft-toMD"
16,2222,222,1,3.820952,4,1,"RParSup","sent","RevLangRight-toMD"
17,1615,161,1,2.077461,4,1,"LACC","sent","RevLangLeft-toMD"
18,1958,195,1,2.465235,4,1,"RACC","sent","RevLangRight-toMD"
1,1038,103,1,2.038927,4,2,"LIFGop","non","RevLangLeft-toMD"
2,1399,139,1,1.617829,4,2,"RIFGop","non","RevLangRight-toMD"
3,4863,486,1,1.165202,4,2,"LMFG","non","RevLangLeft-toMD"
4,5104,510,1,1.212549,4,2,"RMFG","non","RevLangRight-toMD"
5,888,88,1,1.169333,4,2,"LMFGorb","non","RevLangLeft-toMD"
6,1015,101,1,1.719126,4,2,"RMFGorb","non","RevLangRight-toMD"
7,3526,352,1,1.468309,4,2,"LPrecG","non","RevLangLeft-toMD"
8,3381,338,1,0.632444,4,2,"RPrecG","non","RevLangRight-toMD"
9,1858,185,1,0.932229,4,2,"LInsula","non","RevLangLeft-toMD"
10,1770,177,1,0.845549,4,2,"RInsula","non","RevLangRight-toMD"
11,2147,214,1,0.861496,4,2,"LSMA","non","RevLangLeft-toMD"
12,2371,237,1,0.874743,4,2,"RSMA","non","RevLangRight-toMD"
13,2447,244,1,0.666123,4,2,"LParInf","non","RevLangLeft-toMD"
14,1345,134,1,0.760243,4,2,"RParInf","non","RevLangRight-toMD"
15,2065,206,1,2.328205,4,2,"LParSup","non","RevLangLeft-toMD"
16,2222,222,1,2.380045,4,2,"RParSup","non","RevLangRight-toMD"
17,1615,161,1,1.465637,4,2,"LACC","non","RevLangLeft-toMD"
18,1958,195,1,1.42279,4,2,"RACC","non","RevLangRight-toMD"
1,1038,103,1,1.957092,4,3,"LIFGop","non-sent","RevLangLeft-toMD"
2,1399,139,1,1.21566,4,3,"RIFGop","non-sent","RevLangRight-toMD"
3,4863,486,1,1.319751,4,3,"LMFG","non-sent","RevLangLeft-toMD"
4,5104,510,1,0.914776,4,3,"RMFG","non-sent","RevLangRight-toMD"
5,888,88,1,0.683309,4,3,"LMFGorb","non-sent","RevLangLeft-toMD"
6,1015,101,1,0.614177,4,3,"RMFGorb","non-sent","RevLangRight-toMD"
7,3526,352,1,1.323817,4,3,"LPrecG","non-sent","RevLangLeft-toMD"
8,3381,338,1,0.310401,4,3,"RPrecG","non-sent","RevLangRight-toMD"
9,1858,185,1,0.525276,4,3,"LInsula","non-sent","RevLangLeft-toMD"
10,1770,177,1,0.803265,4,3,"RInsula","non-sent","RevLangRight-toMD"
11,2147,214,1,0.613659,4,3,"LSMA","non-sent","RevLangLeft-toMD"
12,2371,237,1,0.394444,4,3,"RSMA","non-sent","RevLangRight-toMD"
13,2447,244,1,0.154239,4,3,"LParInf","non-sent","RevLangLeft-toMD"
14,1345,134,1,0.461849,4,3,"RParInf","non-sent","RevLangRight-toMD"
15,2065,206,1,1.665971,4,3,"LParSup","non-sent","RevLangLeft-toMD"
16,2222,222,1,1.440907,4,3,"RParSup","non-sent","RevLangRight-toMD"
17,1615,161,1,0.611824,4,3,"LACC","non-sent","RevLangLeft-toMD"
18,1958,195,1,1.042446,4,3,"RACC","non-sent","RevLangRight-toMD"
1,1038,103,1,3.855841,5,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,1.575571,5,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,1.374359,5,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,1.216132,5,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,1.525347,5,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,3.355828,5,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,1.423336,5,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,2.823042,5,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,0.290727,5,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,0.247486,5,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,0.756607,5,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,0.551126,5,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,1.690799,5,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,2.54905,5,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,6.413641,5,1,"LParSup","sent","RevLangLeft-toMD"
16,2222,222,1,5.854995,5,1,"RParSup","sent","RevLangRight-toMD"
17,1615,161,1,0.407148,5,1,"LACC","sent","RevLangLeft-toMD"
18,1958,195,1,0.627338,5,1,"RACC","sent","RevLangRight-toMD"
1,1038,103,1,2.79398,5,2,"LIFGop","non","RevLangLeft-toMD"
2,1399,139,1,1.243277,5,2,"RIFGop","non","RevLangRight-toMD"
3,4863,486,1,1.094479,5,2,"LMFG","non","RevLangLeft-toMD"
4,5104,510,1,1.057973,5,2,"RMFG","non","RevLangRight-toMD"
5,888,88,1,1.370278,5,2,"LMFGorb","non","RevLangLeft-toMD"
6,1015,101,1,2.76251,5,2,"RMFGorb","non","RevLangRight-toMD"
7,3526,352,1,1.141788,5,2,"LPrecG","non","RevLangLeft-toMD"
8,3381,338,1,1.990666,5,2,"RPrecG","non","RevLangRight-toMD"
9,1858,185,1,0.21231,5,2,"LInsula","non","RevLangLeft-toMD"
10,1770,177,1,0.266255,5,2,"RInsula","non","RevLangRight-toMD"
11,2147,214,1,0.498504,5,2,"LSMA","non","RevLangLeft-toMD"
12,2371,237,1,0.627696,5,2,"RSMA","non","RevLangRight-toMD"
13,2447,244,1,1.359211,5,2,"LParInf","non","RevLangLeft-toMD"
14,1345,134,1,2.048341,5,2,"RParInf","non","RevLangRight-toMD"
15,2065,206,1,5.463481,5,2,"LParSup","non","RevLangLeft-toMD"
16,2222,222,1,5.040386,5,2,"RParSup","non","RevLangRight-toMD"
17,1615,161,1,0.42429,5,2,"LACC","non","RevLangLeft-toMD"
18,1958,195,1,0.551005,5,2,"RACC","non","RevLangRight-toMD"
1,1038,103,1,1.061861,5,3,"LIFGop","non-sent","RevLangLeft-toMD"
2,1399,139,1,0.332294,5,3,"RIFGop","non-sent","RevLangRight-toMD"
3,4863,486,1,0.27988,5,3,"LMFG","non-sent","RevLangLeft-toMD"
4,5104,510,1,0.158159,5,3,"RMFG","non-sent","RevLangRight-toMD"
5,888,88,1,0.155069,5,3,"LMFGorb","non-sent","RevLangLeft-toMD"
6,1015,101,1,0.593318,5,3,"RMFGorb","non-sent","RevLangRight-toMD"
7,3526,352,1,0.281549,5,3,"LPrecG","non-sent","RevLangLeft-toMD"
8,3381,338,1,0.832375,5,3,"RPrecG","non-sent","RevLangRight-toMD"
9,1858,185,1,0.078417,5,3,"LInsula","non-sent","RevLangLeft-toMD"
10,1770,177,1,-0.01877,5,3,"RInsula","non-sent","RevLangRight-toMD"
11,2147,214,1,0.258103,5,3,"LSMA","non-sent","RevLangLeft-toMD"
12,2371,237,1,-0.07657,5,3,"RSMA","non-sent","RevLangRight-toMD"
13,2447,244,1,0.331588,5,3,"LParInf","non-sent","RevLangLeft-toMD"
14,1345,134,1,0.500709,5,3,"RParInf","non-sent","RevLangRight-toMD"
15,2065,206,1,0.95016,5,3,"LParSup","non-sent","RevLangLeft-toMD"
16,2222,222,1,0.814609,5,3,"RParSup","non-sent","RevLangRight-toMD"
17,1615,161,1,-0.017142,5,3,"LACC","non-sent","RevLangLeft-toMD"
18,1958,195,1,0.076332,5,3,"RACC","non-sent","RevLangRight-toMD"
1,1038,103,1,1.493912,6,1,"LIFGop","sent","RevLangLeft-toMD"
2,1399,139,1,1.326649,6,1,"RIFGop","sent","RevLangRight-toMD"
3,4863,486,1,1.644405,6,1,"LMFG","sent","RevLangLeft-toMD"
4,5104,510,1,0.629812,6,1,"RMFG","sent","RevLangRight-toMD"
5,888,88,1,1.012752,6,1,"LMFGorb","sent","RevLangLeft-toMD"
6,1015,101,1,0.587024,6,1,"RMFGorb","sent","RevLangRight-toMD"
7,3526,352,1,2.906795,6,1,"LPrecG","sent","RevLangLeft-toMD"
8,3381,338,1,1.36511,6,1,"RPrecG","sent","RevLangRight-toMD"
9,1858,185,1,0.886158,6,1,"LInsula","sent","RevLangLeft-toMD"
10,1770,177,1,0.226985,6,1,"RInsula","sent","RevLangRight-toMD"
11,2147,214,1,1.453042,6,1,"LSMA","sent","RevLangLeft-toMD"
12,2371,237,1,0.833699,6,1,"RSMA","sent","RevLangRight-toMD"
13,2447,244,1,2.689532,6,1,"LParInf","sent","RevLangLeft-toMD"
14,1345,134,1,0.741023,6,1,"RParInf","sent","RevLangRight-toMD"
15,2065,206,1,4.556535,6,1,"LParSup","sent","RevLangLeft-toMD"
